time,Chambre1_heaGai_reaCon_y,Chambre1_heaGai_reaLat_y,Chambre1_heaGai_reaRad_y,Chambre1_heaGai_reaTot_y,Chambre2_heaGai_reaCon_y,Chambre2_heaGai_reaLat_y,Chambre2_heaGai_reaRad_y,Chambre2_heaGai_reaTot_y,Chambre3_heaGai_reaCon_y,Chambre3_heaGai_reaLat_y,Chambre3_heaGai_reaRad_y,Chambre3_heaGai_reaTot_y,Combles_heaGai_reaCon_y,Combles_heaGai_reaLat_y,Combles_heaGai_reaRad_y,Combles_heaGai_reaTot_y,Couloir_heaGai_reaCon_y,Couloir_heaGai_reaLat_y,Couloir_heaGai_reaRad_y,Couloir_heaGai_reaTot_y,Garage_heaGai_reaCon_y,Garage_heaGai_reaLat_y,Garage_heaGai_reaRad_y,Garage_heaGai_reaTot_y,SDB_heaGai_reaCon_y,SDB_heaGai_reaLat_y,SDB_heaGai_reaRad_y,SDB_heaGai_reaTot_y,Salon_heaGai_reaCon_y,Salon_heaGai_reaLat_y,Salon_heaGai_reaRad_y,Salon_heaGai_reaTot_y
0,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5400,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8100,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
